"review_id","customer_id","product_id","product_parent","review_date"
"RTIS3L2M1F5SM",12039526,"B001CXYMFS",737716809,"2015-08-31"
"R1ZV7R40OLHKD",9636577,"B00M920ND6",569686175,"2015-08-31"
"R3BH071QLH8QMC",2331478,"B0029CSOD2",98937668,"2015-08-31"
"R127K9NTSXA2YH",52495923,"B00GOOSV98",23143350,"2015-08-31"
"R32ZWUXDJPW27Q",14533949,"B00Y074JOM",821342511,"2015-08-31"
"R3AQQ4YUKJWBA6",2377552,"B002UBI6W6",328764615,"2015-08-31"
"R2F0POU5K6F73F",17521011,"B008XHCLFO",24234603,"2015-08-31"
"R3VNR804HYSMR6",19676307,"B00BRA9R6A",682267517,"2015-08-31"
"R3GZTM72WA2QH",224068,"B009EPWJLA",435241890,"2015-08-31"
"RNQOY62705W1K",48467989,"B0000AV7GB",256572651,"2015-08-31"
"R1VTIA3JTYBY02",106569,"B00008KTNN",384411423,"2015-08-31"
"R29DOU8791QZL8",48269642,"B000A3IA0Y",472622859,"2015-08-31"
"R15DUT1VIJ9RJZ",52738710,"B0053BQN34",577628462,"2015-08-31"
"R3IMF2MQ3OU9ZM",10556786,"B002I0HIMI",988218515,"2015-08-31"
"R23H79DHOZTYAU",2963837,"B0081EH12M",770100932,"2015-08-31"
"RIV24EQAIXA4O",23092109,"B005FMLZQQ",24647669,"2015-08-31"
"R3UCNGYDVN24YB",23091728,"B002BSA388",33706205,"2015-08-31"
"RUL4H4XTTN2DY",10712640,"B00BUSLSAC",829667834,"2015-08-31"
"R20JF7Z4DHTNX5",17455376,"B00KWF38AW",110680188,"2015-08-31"
"R2T1AJ5MFI2260",14754850,"B00BRQJYA8",616463426,"2015-08-31"
"RYSSKR5ZTU8JX",14533949,"B0056WJA6C",772407903,"2015-08-31"
"R2E5BQMWTW9JUQ",2322846,"B003GDFMWE",266211125,"2015-08-31"
"R1UC7WJRQQKU5V",48880662,"B0053OLY9O",644540693,"2015-08-31"
"R3V0YK55IDIW3T",10712640,"B00FS2XRIC",880237933,"2015-08-31"
"R14Z48EC6DKJX9",22151364,"B000PHNW3A",627665644,"2015-08-31"
"R3AACSKX1EAHUY",1581810,"B001REZLY8",816407837,"2015-08-31"
"R1FJWU0IJ4KUT4",25401563,"B001BNFQKO",108570469,"2015-08-31"
"R3D8ELWH0671OJ",3014276,"B00RAB0J0S",103963355,"2015-08-31"
"R3IU97WRKS5SLN",27975200,"B0034JKYO6",718871603,"2015-08-31"
"RJOF64DZUKQ3D",47864127,"B006OI3CTS",578887204,"2015-08-31"
"R3GXKE92MJBBSL",45205407,"B00KVP78FE",177244653,"2015-08-31"
"R3EKZ2GTIPQ3ZL",667240,"B00005CF9L",642880364,"2015-08-31"
"R23HC6NMA3HBPS",39746001,"B00MV7KVP4",92208606,"2015-08-31"
"R3ANEHLBZQZKBI",4089089,"B00KAED7OC",666776757,"2015-08-31"
"R1DLJMMMK89CGD",10712640,"B00KVRK39A",926940172,"2015-08-31"
"RUGCK1O1I3YAD",30477870,"B00Q4Z29H2",406337356,"2015-08-31"
"R32GULBEVCP7C6",2803958,"B00LUF3DOY",218908462,"2015-08-31"
"R3HOHBDG1HOZLE",10548951,"B00273Z9WM",526642828,"2015-08-31"
"R8HD4KOH8L0A6",24000539,"B00Q03M888",987197932,"2015-08-31"
"R1OTFNID62KK2T",30067162,"B004UDLRMS",271964156,"2015-08-31"
"R1VMI5EN72ALKT",14861684,"B000AC59ZO",565254731,"2015-08-31"
"R1H4FFUAQGFD3Q",2305730,"B005DI7N7W",56820144,"2015-08-31"
"R2MTHHQM6RSDQK",669612,"B00503E8S2",895635946,"2015-08-31"
"R2FGNUPI80N01F",1822902,"B000I7GI8I",292434726,"2015-08-31"
"R2636ZX835F2AQ",22151364,"B0050SWTS8",652324870,"2015-08-31"
"R9WP6WZ1ANYSD",29604302,"B00O9GW8VK",949822044,"2015-08-31"
"R19IRZAAPBCJES",50165446,"B003O6E800",970259291,"2015-08-31"
"R2TGYMO2PKK8LN",1768899,"B005OSFUOY",261895613,"2015-08-31"
"RE9PNA5CSDZLG",14352536,"B00YXO5X4M",832423177,"2015-08-31"
"R3DCTXDTB028VH",8399590,"B00NGXUBTI",280854144,"2015-08-31"
"RL1N4DGJUCG74",15330489,"B00VE2VAVG",33967680,"2015-08-31"
"R35DQBORMMU81P",15114496,"B00ENFVJJO",825923905,"2015-08-31"
"R3VTIZI7XPW9PR",21468512,"B0061PAZUS",775061243,"2015-08-31"
"R3E3B8BFDE3WO5",867682,"B0089X37NW",741343691,"2015-08-31"
"R2GUL5113VW0DR",40033984,"B0050SYS5A",366017508,"2015-08-31"
"R4PKAZRQJJX14",7142190,"B00QZLVCU0",210935604,"2015-08-31"
"R3ILKJGE5G9T2Y",7925007,"B00I2L23HM",330781203,"2015-08-31"
"R2BIY6KUTEBIJB",16582908,"B00NY5ZPF8",820511031,"2015-08-31"
"RL461BGIHV1IN",9188079,"B00DJ42BUQ",919861629,"2015-08-31"
"R2DEXYGYSI8ULV",1032193,"B002I098JE",324028617,"2015-08-31"
"R2U00BZEU8WL0Q",30067162,"B007UM59AC",933655538,"2015-08-31"
"R27PVWUICA5L2T",25204329,"B010B6EKVC",375499210,"2015-08-31"
"R32LD1SFPD15KP",50404055,"B00CJ7IUGS",713293916,"2015-08-31"
"R2WSD26B3UWFKJ",26270005,"B00BQWTGIS",481218603,"2015-08-31"
"R1B2Z9K9P2B53K",22151364,"B000VBFW7E",676074403,"2015-08-31"
"R2CE7BWKYD31DA",118326,"B00CMQTUY2",168079078,"2015-08-31"
"RO37J45AMX1O7",30067162,"B00IIHU44E",814015612,"2015-08-31"
"R1SO82U24GB5BZ",13391060,"B001E65P72",316986472,"2015-08-31"
"RLM1H6VO69TWL",20138121,"B00EM5UFF4",246340720,"2015-08-31"
"R2NCZ6CIHAWH28",39665969,"B00VE2VASY",908454240,"2015-08-31"
"R2ZTIJ1OGCCL3Q",1919670,"B002BG6ZUK",37918143,"2015-08-31"
"R137FFZDW0NGYJ",51954712,"B001SQ8HTQ",26034996,"2015-08-31"
"R26DR4AYQB0RNL",30067162,"B00S1LRX3W",391171637,"2015-08-31"
"R285OGFUKNFKO5",13506443,"B00O97ZVJA",375499210,"2015-08-31"
"R2CI0Y288CC7E2",1085641,"B00RHI62GY",626589765,"2015-08-31"
"R3TP89AB8WMY06",51771179,"B003O680ZY",57294514,"2015-08-31"
"R11HR9TSPUPP6X",21001467,"B00GOOSV98",23143350,"2015-08-31"
"RVNS8JVMATCS8",22151364,"B00KME8JBQ",135925655,"2015-08-31"
"R1UON5PEH3RQ6I",1882059,"B007UM599S",138105026,"2015-08-31"
"R26W1B09I4OAXL",10712640,"B00C1IHB92",484830671,"2015-08-31"
"R1GMT2C66JBYTM",24884854,"B002Z7BE1U",772708923,"2015-08-31"
"RXJ4RXVZNQQMK",10595946,"B00149MEVY",648090358,"2015-08-31"
"ROZKTYUKGARKF",154973,"B00SULMRI4",587509776,"2015-08-31"
"R4VFPBBI41BH7",1965700,"B00004SVNB",711147184,"2015-08-31"
"R1GBJZ5XC1XTXS",10443253,"B0050SXJXW",210026696,"2015-08-31"
"R34PCR8AFDJ7IZ",24736244,"B00Y074JRY",440392670,"2015-08-31"
